E	'i
مشت	moSt
مشتاق	moStAq
مشتاقانه	moStAqAne
مشتاقی	moStAqi
مشتاقیه	moStAqiyye
مشتاق‌علی	moStAq'ali
مشتبه	moStabeh
مشترک	moStarek
مشترکات	moStarakAt
مشترک‌المنافع	moStarekolmanAfe'
مشتری	moStari
مشتری‌پسند	moStaripasand
مشتعل	moSta'el
مشتق	moStaqq
مشتق‌شده	moStaqSode
مشتق‌گیری	moStaqqgiri
مشتلق	moStoloq
مشتمال	moStomAl
مشتمل	moStamel
مشته	moSte
مشتوک	moStuk
مشتی	maSti
مشت‌بازی	moStbAzi
مشت‌زن	moStzan
مشت‌زنی	moStzani
مشت‌ومال	moStomAl
مشجر	moSajjar
مشحون	maShun
مشخص	moSaxxas
مشخصات	moSaxxasAt
مشخصه	moSaxxase
مشخص‌سازی	moSaxxassAzi
مشخص‌شده	moSaxxasSode
مشخص‌کننده	moSaxxaskonande
مشدد	moSaddad
مشدی	maSdi
مشرب	maSrab
مشربه	maSrabe
مشرف	moSarraf
مشرفی	moSrefi
مشرف‌الدین	moSrefeddin
مشرق	maSreq
مشرقی	maSreqi
مشرق‌زمین	maSreqzamin
مشروب	maSrub
مشروبخور	maSrubxor
مشروبخوری	maSrubxori
مشروب‌خوار	maSrubxAr
مشروب‌خواری	maSrbxAri
مشروب‌سازی	maSrubsAzi
مشروب‌فروشی	maSrubforuSi
مشروح	maSruh
مشروحه	maSruhe
مشروط	maSrut
مشروطه	maSrute
مشروطه‌خواه	maSrutexAh
مشروطه‌خواهی	maSrutexAhi
مشروطیت	maSrutiyyat
مشروع	maSru'
مشروعه	maSru'e
مشروعیت	maSru'iyyat
مشروعیت‌بخشی	maSru'iyyatbaxSi
مشرک	moSrek
مشعر	moS'er
مشعشع	moSa'Sa'
مشعل	maS'al
مشعلی	maS'ali
مشعل‌دار	maS'aldAr
مشعوف	maS'uf
مشغله	maSqale
مشغول	maSqul
مشغولیات	maSquliyyAt
مشغولیت	maSquliyyat
مشفق	moSfeq
مشفقانه	moSfeqAne
مشق	maSq
مشقات	maSeqqAt
مشقت	maSeqqat
مشقت‌بار	maSeqqatbAr
مشقی	maSqi
مشمئز	moSma'ez
مشمئز‌کننده	moSma'ezkonande
مشما	moSammA
مشمع	moSamma'
مشمول	maSmul
مشمولیت	maSmuliyyat
مشهد	maShad
مشهدالرضا	maShadorrezA
مشهدسر	maShadsar
مشهدی	maShadi
مشهود	maShud
مشهودات	maShudAt
مشهور	maShur
مشهی	moSahhi
مشوب	maSub
مشورت	maSverat
مشورتی	maSverati
مشوش	moSavvaS
مشوق	moSavveq
مشوه	moSavvah
مشک	maSk
مشکات	meSkAt
مشکاتیان	meSkAtiyAn
مشکبار	moSkbAr
مشکبو	moSkbu
مشکریز	moSkriz
مشکل	moSkel
مشکلزا	moSkelzA
مشکل‌آفرین	moSkelAfarin
مشکل‌آفرینی	moSkelAfarini
مشکل‌دار	moSkeldAr
مشکل‌ساز	moSkelsAz
مشکل‌پسند	moSkelpasand
مشکل‌گشا	moSkelgoSA
مشکل‌گشایی	moSkelgoSAyi
مشکور	maSkur
مشکوک	maSkuk
مشکی	meSki
مشکین	meSkin
مشکینی	meSkini
مشکین‌دشت	meSkindaSt
مشکین‌شهر	meSkinSahr
مشک‌فشان	moSkfeSAn
مشگ	maSg
مشگی	maSgi
مشی	maSy
مشیب	maSib
مشیت	maSiyyat
مشیر	moSir
مشیرالدوله	moSiroddowle
مشیرالملک	moSirolmolk
مشیری	moSiri
مشیریه	moSiriyye
مشیمه	maSime
مشیمیه	maSimiyye
مصائب	masA'eb
مصاحب	mosAheb
مصاحبت	mosAhebat
مصاحبه	mosAhebe
مصاحبه‌ای	mosAhebe'i
مصاحبه‌شونده	mosAhebeSavande
مصاحبه‌کننده	mosAhebekonande
مصاحبه‌گر	mosAhebegar
مصاحف	masAhef
مصادر	mosAder
مصادرات	mosAderAt
مصادره	mosAdere
مصادره‌ای	mosAdere'i
مصادره‌شده	mosAdereSode
مصادف	mosAdef
مصادقت	mosAdeqat
مصادیق	masAdiq
مصارف	masAref
مصاف	masAf
مصالح	masAleh
مصالحه	mosAlehe
مصایب	masAyeb
مصب	masab
مصباح	mesbAh
مصباحی	mesbAhi
مصباح‌زاده	mesbAhzAde
مصباح‌یزدی	mesbAheyazdi
مصحح	mosahheh
مصحف	mosahhaf
مصداق	mesdAq
مصداقی	mesdAqi
مصدر	masdar
مصدری	masdari
مصدع	mosadde'
مصدق	mosaddeq
مصدوم	masdum
مصدومیت	masdumiyyat
مصر	mesr
مصراع	mesrA'
مصرانه	moserrAne
مصرح	mosrrah
مصرع	mesra'
مصرف	masraf
مصرفی	masrafi
مصرف‌زدگی	masrafzadegi
مصرف‌شده	masrafSode
مصرف‌کننده	masrafkonande
مصرف‌گرایی	masrafgerAyi
مصروع	masru'
مصروف	masruf
مصری	mesri
مصری‌تبار	masritabAr
مصطبه	mastabe
مصطفایی	mostafAyi
مصطفوی	mostafavi
مصطفی	mostafA
مصطفی‌زاده	mostafAzAde
مصطلح	mostalah
مصطکی	mastaki
مصعبی	mos'abi
مصغر	mosaqqar
مصفا	mosaffA
مصلا	mosallA
مصلح	mosleh
مصلحانه	moslehAne
مصلحت	maslehat
مصلحتی	maslehati
مصلحت‌اندیش	maslehatandiS
مصلحت‌اندیشانه	maslehatandiSAne
مصلحت‌اندیشی	maslehatandiSi
مصلحت‌جویی	maslehatjuyi
مصلحت‌سنجی	maslehatsanji
مصلحت‌گرا	maslehatgerA
مصلحت‌گرایی	maslehatgerAyi
مصلوب	maslub
مصلی	mosallA
مصمت	mosammat
مصمم	mosammam
مصنع	masna'
مصنف	mosannef
مصنفات	mosannafAt
مصنوع	masnu'
مصنوعات	masnu'At
مصنوعی	masnu'i
مصوب	mosavvab
مصوبات	mosavvabAt
مصوبه	mosavvabe
مصوت	mosavvet
مصور	mosavvar
مصورساز	mosavvarsAz
مصورسازی	mosavvarsAzi
مصوری	mosavvari
مصون	masun
مصونیت	masuniyyat
مصون‌سازی	masunsAzi
مصیبت	mosibat
مصیبت‌بار	mosibatbAr
مصیبت‌خوان	mosibatxAn
مصیبت‌دیده	mosibatdide
مصیبت‌زده	mosibatzade
مصیبت‌نامه	mosibatnAme
مصیر	masir
مضار	mazArr
مضاربه	mozArebe
مضاربه‌ای	mozArebe'i
مضارع	mozAre'
مضاعف	mozA'af
مضاف	mozAf
مضافتی	mozAfati
مضاف‌الیه	mozAfon'elayh
مضامین	mazAmin
مضایق	mazAyeq
مضایقه	mozAyeqe
مضبوط	mazbut
مضحک	mozhek
مضحکه	mahake
مضر	mozerr
مضراب	mezrAb
مضرابی	mezrAbi
مضرات	mazarrAt
مضرب	mazrab
مضرت	mazerrat
مضرس	mozarras
مضروب	mazrub
مضطر	moztar
مضطرب	moztareb
مضمحل	mozmahel
مضمر	mozmar
مضمضه	mazmaze
مضموم	mazmum
مضمون	mazmun
مضمون‌آفرینی	mazmunAfarini
مضمون‌سازی	mazmunsAzi
مضمون‌یابی	mazmunyAbi
مضی	moziyy
مضیق	maziq
مضیقه	maziqe
مطابق	motAbeq
مطابقت	motAbeqat
مطابقه	motAbeqe
مطار	matAr
مطاع	motA'
مطالب	matAleb
مطالبات	motAlebAt
مطالبه	motAlebe
مطالع	matAle'
مطالعات	motAle'At
مطالعاتی	motAle'Ati
مطالعه	motAle'e
مطامع	matAme'
مطایبات	motAyebAt
مطایبه	motAyebe
مطایبه‌نامه	motyebenAme
مطب	matab
مطبخ	matbax
مطبعه	matba'e
مطبق	motabbaq
مطبوع	matbu'
مطبوعات	matbu'At
مطبوعاتی	matbu'Ati
مطران	metrAn
مطرب	motreb
مطربی	motrebi
مطرح	matrah
مطرح‌شده	matrahSode
مطروح	matruh
مطروحه	matruhe
مطرود	matrud
مطعم	mat'am
مطلا	motallA
مطلب	matlab
مطلبی	motallebi
مطلب‌خان	motallebxAn
مطلع	matla'
مطلع‌الفجر	matla'olfajr
مطلق	motlaq
مطلقات	motallaqAt
مطلقه	motallaqe
مطلق‌سازی	motlaqsAzi
مطلوب	matlub
مطلوبیت	matlubiyyat
مطمئن	motma'en
مطمئنه	motma'enne
مطمح	matmah
مطنطن	motantan
مطهر	motahhar
مطهره	motahhare
مطهری	motahhari
مطیع	moti'
مطیعانه	moti'Ane
مطیعی	moti'i
مظالم	mazAlem
مظان	mazAnn
مظاهر	mazAher
مظاهره	mozAhere
مظروف	mazruf
مظفر	mozaffar
مظفرآباد	mozaffarAbAd
مظفرالدین	mozaffareddin
مظفرالدین‌شاه	mozaffareddinSAh
مظفرشاه	mozaffarSAh
مظفری	mozaffari
مظفریان	mozaffariyAn
مظفر‌علی	mozaffar'ali
مظلم	mozlem
مظلمه	mazlame
مظلوم	mazlum
مظلومانه	mazlumAne
مظلومی	mazlumi
مظلومیت	mazlumiyyat
مظلوم‌نمایی	mazlumnamAyi
مظلوم‌کش	mazlumkoS
مظنه	mazanne
مظنون	maznun
مظهر	mazhar
مظهرالعجایب	mazharol'ajAyeb
مظهری	mazhari
مظهریت	mazhariyyat
معابد	ma'Abed
معابر	ma'Aber
معاد	ma'Ad
معادشناسی	ma'AdSenAsi
معادل	mo'Adel
معادلات	mo'AdelAt
معادله	mo'Adele
معادل‌سازی	mo'AdelsAzi
معادل‌یابی	mo'AdelyAbi
معادن	ma'Aden
معادنی	ma'Adeni
معاذیر	ma'Azir
معارض	mo'Arez
معارضه	mo'Areze
معارضه‌جویی	mo'Arezejuyi
معارف	ma'Aref
معارفه	mo'Arefe
معاریف	ma'Arif
معاش	ma'AS
معاشر	mo'ASer
معاشرت	mo'ASerat
معاشرتی	mo'ASerati
معاشقه	mo'ASeqe
معاصر	mo'Aser
معاصی	mo'Asi
معاضدت	mo'Azedat
معاف	mo'Af
معافی	mo'Afi
معافیت	mo'Afiyyat
معاف‌شده	mo'AfSode
معالج	mo'Alej
معالجات	mo'AlejAt
معالجه	mo'Aleje
معاملات	mo'AmelAt
معاملاتی	mo'AmelAti
معامله	mo'Amele
معامله‌به‌مثل	mo'Amelebemesl
معامله‌گر	mo'Amelegar
معامله‌گری	mo'Amelegari
معان	ma'An
معاند	mo'Aned
معانقه	mo'Aneqe
معانی	ma'Ani
معاهد	mo'Ahed
معاهدات	mo'AhedAt
معاهده	mo'Ahede
معاهده‌ای	mo'Ahede'i
معاودت	mo'Avedat
معاوضات	mo'AvezAt
معاوضه	mo'Aveze
معاون	mo'Aven
معاونت	mo'Avenat
معاون‌زاده	mo'AvenzAde
معاویه	mo'Aviyye
معایب	ma'Ayeb
معاینات	mo'AyenAt
معاینه	mo'Ayene
معبد	ma'bad
معبر	ma'bar
معبود	ma'bud
معتاد	mo'tAd
معتبر	mo'tabar
معتدل	mo'tadel
معتدله	mo'tadele
معترض	mo'tarez
معترضانه	mo'tarezAne
معترضه	mo'tareze
معترف	mo'taref
معتزله	mo'tazele
معتزلی	mo'tazeli
معتصم	mo'tasam
معتضد	mo'tazed
معتضدی	mo'tazedi
معتقد	mo'taqed
معتقدات	mo'taqedAt
معتل	mo'attal
معتمد	mo'tamed
معتمدالدوله	mo'tamedoddowle
معتمدی	mo'tamedi
معتمدیان	mo'tamediyAn
معتمد‌آریا	mo'tamedAriyA
معتنابه	mo'tanAbeh
معتکف	mo'takef
معجره	ma'jare
معجز	mo'jez
معجزآسا	mo'jeze'AsA
معجزات	mo'jezAt
معجزه	mo'jeze
معجزه‌آسا	mo'jeze'AsA
معجزه‌گر	mo'jezegar
معجم	mo'jam
معجون	ma'jun
معدل	mo'addel
معدل‌النهار	mo'addelonnahAr
معدن	ma'dan
معدنچی	ma'danCi
معدنی	ma'dani
معدن‌شناس	ma'danSenAs
معدن‌شناسی	ma'danSenAsi
معدن‌کار	ma'dankAr
معدن‌کاری	ma'dankAri
معدن‌کاو	ma'dankAv
معده	me'de
معده‌ای	me'de'i
معدود	ma'dud
معدوم	ma'dum
معدی	me'di
معذالک	ma'zAlek
معذب	mo'azzab
معذرت	ma'zerat
معذرت‌خواهی	ma'zeratxAhi
معذور	ma'zur
معذوریت	ma'zuriyyat
معراج	me'rAj
معراجی	me'rAji
معراج‌نامه	me'rAjnAme
معرب	mo'arrab
معرض	ma'raz
معرف	mo'arref
معرفت	ma'refat
معرفتی	ma'refati
معرفت‌شناختی	ma'refatSenAxti
معرفت‌شناسانه	ma'refatSenAsAne
معرفت‌شناسی	ma'refatSenAsi
معرفه	ma'refe
معرفی	mo'arrefi
معرفی‌شده	mo'arrefiSode
معرفی‌نامه	mo'arrefinAme
معرفی‌کننده	mo'arrefikonande
معرق	mo'arraq
معرق‌سازی	mo'arraqsAzi
معرق‌کاری	mo'arraqkAri
معروض	ma'ruz
معروف	ma'ruf
معروفه	ma'rufe
معروفی	ma'rufi
معروفیت	ma'rufiyyat
معرکه	ma'reke
معزالدوله	mo'ezzoddowle
معزالدین	mo'ezzeddin
معزز	mo'azzez
معزول	ma'zul
معسر	mo'ser
معشوق	ma'Suq
معشوقه	ma'Suqe
معصوم	ma'sum
معصومانه	ma'sumAne
معصومه	ma'sume
معصومی	ma'sumi
معصومیت	ma'sumiyyat
معصیت	ma'siyat
معصیت‌کار	ma'siyyatkAr
معضل	mo'zal
معطر	mo'attar
معطری	mo'attari
معطریان	mo'attariyAn
معطل	mo'attal
معطلی	mo'attali
معطوف	ma'tuf
معظم	mo'azzam
معظمی	mo'azzami
معقد	mo'qqad
معقل	ma'qel
معقلی	ma'qeli
معقول	ma'qul
معقولات	ma'qulAt
معقولانه	ma'qulAne
معلا	mo'allA
معلق	mo'allaq
معلم	mo'allem
معلمه	mo'alleme
معلمی	mo'allemi
معلول	ma'lul
معلولی	ma'luli
معلولیت	ma'luliyyat
معلوم	ma'lum
معلومات	ma'lumAt
معلومه	ma'lume
معلوم‌الحال	ma'lumolhAl
معما	mo'ammA
معمار	me'mAr
معمارانه	me'mArAne
معمارباشی	me'mArbASi
معمارزاده	me'mArzAde
معماری	me'mAri
معماگونه	mo'ammAgune
معمایی	mo'ammAyi
معمر	mo'ammar
معمم	mo'ammam
معمور	ma'mur
معمول	ma'mul
معمولی	ma'muli
معنا	ma'nA
معنائی	ma'nA'i
معنابخش	ma'nAbaxS
معنادار	ma'nAdAr
معنایی	ma'nAyi
معنا‌داری	ma'nAdAri
معنا‌شناسی	ma'nASenAsi
معنوی	ma'navi
معنویات	ma'naviyyAt
معنویت	ma'naviyyat
معنی	ma'ni
معنی‌دار	ma'nidAr
معنی‌داری	ma'nidAri
معنی‌شناسی	ma'niSenAsi
معهود	ma'hud
معوج	mo'vvaj
معوق	mo'avvaq
معوقه	mo'avvaqe
معکوس	ma'kus
معیار	me'yAr
معیارالعقول	me'yArol'oqul
معیت	ma'iyyat
معید	mo'id
معیرالممالک	mo'ayyerolmamAlek
معیری	mo'ayyeri
معیشت	ma'iSat
معیشتی	ma'iSati
معیل	mo'il
معین	mo'ayyan
معینی	mo'ini
معینیان	mo'iniyAn
معین‌الدین	mo'inoddin
معین‌فر	mo'infar
معین‌پور	mo'inpur
معیوب	ma'yub
مع‌الاسف	ma'al'asaf
مع‌الوصف	ma'alvasf
مع‌ذلک	ma'zAlek
مع‌هذا	ma'hAzA
مغ	moq
مغار	maqAr
مغاره	maqAre
مغازلات	moqAzelAt
مغازله	moqAzele
مغازه	maqAze
مغازه‌دار	maqAzedAr
مغالطه	moqAlete
مغان	moqAn
مغانلو	moqAnlu
مغاک	maqAk
مغایر	moqAyer
مغایرت	moqAyerat
مغبون	maqbun
مغبونی	ma'buni
مغتنم	moqtanam
مغذی	moqazzi
مغرب	maqreb
مغربی	maqrebi
مغرب‌زمین	maqrebzamin
مغرض	moqrez
مغرضانه	moqrezAne
مغرور	maqrur
مغرورانه	maqrurAne
مغروری	maqruri
مغروق	maqruq
مغز	maqz
مغزشناسی	maqzSenAsi
مغزپسته‌ای	maqzpeste'i
مغزی	maqzi
مغشوش	maqSuS
مغضوب	maqzub
مغفرت	maqferat
مغفور	maqfur
مغفوره	maqfure
مغفوری	maqfuri
مغفوریان	maqfuriyAn
مغلطه	maqlate
مغلطه‌کاری	maqletekAri
مغلق	moqlaq
مغلوب	maqlub
مغلوط	maqlut
مغموم	maqmum
مغناطیس	meqnAtis
مغناطیسی	meqnAtisi
مغنی	moqnni
مغول	moqol
مغولستان	moqolestAn
مغولی	moqoli
مغول‌تبار	moqoltabAr
مغیره	moqayyara
مغیلان	moqilAn
مف	mof
مفاتیح	mafAtih
مفاتیح‌الجنان	mafAtiholjenAn
مفاخر	mafAxer
مفاخری	mafAxeri
مفاد	mofAdd
مفارق	mofAreq
مفارقت	mofAregat
مفاسد	mafAsed
مفاصا	mofAsA
مفاصاحساب	mofAsAhesAb
مفاصل	mafAsel
مفاعلن	mafA'elon
مفاعیلن	mafA'ilon
مفاهمه	mofAheme
مفاهیم	mafAhim
مفت	moft
مفتاح	meftAh
مفتاح‌الحساب	meftAholhesAb
مفتاح‌الفتوح	meftAholfotuh
مفتح	mofatteh
مفتخر	moftaxar
مفتخور	moftxor
مفتری	moftari
مفتش	mofatteS
مفتضح	moftazah
مفتضحانه	moftazahAne
مفتعلن	mofta'elon
مفتن	mofatten
مفتوح	maftuh
مفتوحه	maftuhe
مفتول	maftul
مفتون	maftun
مفتکی	moftaki
مفتی	mofti
مفتی‌زاده	moftizAde
مفر	mafarr
مفرح	mofarrah
مفرد	mofrad
مفردات	mofradAt
مفرش	mafraS
مفرط	mofrat
مفرغ	mefraq
مفرغی	mefraqi
مفرغ‌کاری	mefraqkAri
مفروز	mafruz
مفروش	mafruS
مفروض	mafruz
مفروضی	mafruzi
مفروق	mafruq
مفروق‌منه	mafruqonmenh
مفسد	mofsed
مفسده	mofsede
مفسده‌آمیز	mofsede'Amiz
مفسده‌جو	mofsedeju
مفسده‌جویی	mofsedejuyi
مفسد‌فی‌الارض	mofsedefel'arz
مفسر	mofasser
مفصل	mafsal
مفصلی	mafsali
مفضل	mofzel
مفضول	mafzul
مفطر	mofter
مفعول	maf'ul
مفعولی	maf'uli
مفقود	mafqud
مفقودالاثر	mafqudol'asar
مفقودی	mafqudi
مفقود‌شده	mafqudSode
مفلس	mofles
مفلسی	moflesi
مفلوج	mafluj
مفلوک	mafluk
مفنگی	mofangi
مفهوم	mafhum
مفهومی	mafhumi
مفهوم‌سازی	mafhumsAzi
مفوض	mofavvaz
مفید	mofid
مفیدی	mofidi
مفیدیان	mofidiyAn
مقابر	maqAber
مقابل	moqAbel
مقابله	moqAbele
مقابله‌ای	moqAbele'i
مقابله‌به‌مثل	moqAbelebemesl
مقاتل	maqAtel
مقاتله	moqAtele
مقادیر	maqAdir
مقاربت	moqArebat
مقاربتی	moqArebati
مقارن	moqAren
مقارنه	moqArene
مقاش	maqqAS
مقاصد	maqAsed
مقاطع	maqAte'
مقاطعه	moqAte'e
مقاطعه‌کار	moqAte'ekAr
مقاطعه‌کاری	moqAte'ekAri
مقال	maqAl
مقالات	maqAlAt
مقاله	maqAle
مقاله‌نویس	maqAlenevis
مقاله‌نویسی	maqAlenevisi
مقام	maqAm
مقامه‌نویسی	maqAmenevisi
مقامی	maqAmi
مقام‌طلب	maqAmtalab
مقام‌پرستی	maqAmparasti
مقانلو	moqAnlu
مقاولات	moqAvelAt
مقاوله	moqAvele
مقاوله‌نامه	moqAvelenAme
مقاوم	moqAvem
مقاومت	moqAvemat
مقاومت‌کننده	moqAvematkonande
مقاوم‌سازی	moqAvemsAzi
مقایسه	moqAyese
مقایسه‌ای	moqAyese'i
مقبره	maqbare
مقبل	moqbel
مقبلی	moqbeli
مقبول	maqbul
مقبوله	maqbule
مقبولیت	maqbuliyyat
مقتبس	moqtabes
مقتدا	moqtadA
مقتدائی	moqtadA'i
مقتدایی	moqtadAyi
مقتدر	moqtader
مقتدرانه	moqtaderAne
مقتدری	moqtaderi
مقتصد	moqtased
مقتضا	moqtazA
مقتضی	moqtazi
مقتضیات	moqtaziyyAt
مقتل	maqtal
مقتل‌نویس	maqtalnevis
مقتنع	moqtane'
مقتول	maqtul
مقداد	meqdAd
مقدار	meqdAr
مقداردهی	meqdArdehi
مقداری	meqdAri
مقدر	moqaddar
مقدس	moqaddas
مقدسات	moqaddasAt
مقدسه	moqaddase
مقدسی	moqaddasi
مقدس‌نما	moqaddasnamA
مقدم	maqdam
مقدمات	moqaddamAt
مقدماتی	moqaddamAti
مقدمه	moqaddame
مقدمه‌چینی	moqaddameCini
مقدمی	moqaddami
مقدم‌پور	moqaddampur
مقدور	maqdur
مقدورات	maqdurAt
مقدونی	maqduni
مقدونیه	maqduniyye
مقر	maqar
مقراض	meqrAz
مقرب	moqarrab
مقربی	moqarrebi
مقرر	moqarrar
مقررات	moqarrarAt
مقرراتی	moqarrarAti
مقرره	moqarrare
مقرری	moqarrari
مقرر‌شده	moqarrarSode
مقرنس	moqarnas
مقرنس‌کاری	moqarnaskAri
مقره	maqarre
مقروض	maqruz
مقرون	maqrun
مقرون‌به‌صرفه	maqrunbesarfe
مقسم	moqassem
مقسوم	maqsum
مقسوم‌علیه	maqsumon'alayh
مقصد	maqsad
مقصر	moqasser
مقصود	maqsud
مقصودی	maqsudi
مقصور	maqsur
مقصوره	maqsure
مقطر	moqattar
مقطع	maqta'
مقطعه	moqatta'e
مقطعه‌دار	moqatta'edAr
مقطعی	maqta'i
مقطوع	maqtu'
مقطوع‌النسل	maqtu'onnasl
مقعد	maq'ad
مقعر	moqa''ar
مقفا	moqaffA
مقلد	moqalled
مقلدانه	moqalledAne
مقلوب	maqlub
مقنع	moqanna'
مقنعه	maqna'e
مقنن	moqannen
مقننه	moqannane
مقنی	moqanni
مقهور	maqhur
مقوا	moqavvA
مقوایی	moqavvAyi
مقول	maqul
مقولات	maqulAt
مقوله	maqule
مقوم	moqavvem
مقوی	moqavvi
مقیاس	meqyAs
مقید	moqayyad
مقیم	moqim
مقیمی	moqimi
مل	mel
ملا	mollA
ملاء	mala'
ملاء‌عام	mala'e'Amm
ملائک	malA'ek
ملائکه	malA'eke
ملائی	mollA'i
ملااحمد	mollA'ahmad
ملااسماعیل	mollA'esmA'il
ملاباقر	mollAbAqer
ملات	malAt
ملاج	malAj
ملاجلال	mollAjalAl
ملاح	mallAh
ملاحاجی	mollAhAji
ملاحت	malAhat
ملاحده	malAhede
ملاحسن	mollAhasan
ملاحسین	mollAhoseyn
ملاحظات	molAhezAt
ملاحظه	molAheze
ملاحظه‌کار	molAhezekAr
ملاحی	mallAhi
ملاخور	mollAxor
ملاده	mollAdeh
ملارد	malArd
ملازاده	mollAzAde
ملازم	molAzem
ملازمات	molAzemAt
ملازمت	molAzemat
ملازمه	molAzeme
ملاس	malAs
ملاصدرا	mollAsadrA
ملاط	malAt
ملاطفت	molAtefat
ملاعلی	mollA'ali
ملافه	malAfe
ملاقات	molAqAt
ملاقاتی	molAqAti
ملاقلی‌پور	mollAqolipur
ملاقه	malAqe
ملال	malAl
ملالت	malAlat
ملالت‌آور	malAlatAvar
ملالت‌بار	malAlatbAr
ملال‌آور	malAlAvar
ملال‌انگیز	malAlangiz
ملامت	malAmat
ملامتگر	malAmatgar
ملامتی	malAmati
ملامحسن	mollAmohsey
ملامین	melAmin
ملانصرالدین	mollAnasreddin
ملانقطی	mollAnoqati
ملانکولی	melAnkoli
ملانین	melAnin
ملاک	mallAk
ملاکی	mallAki
ملایر	malAyer
ملایری	malAyeri
ملایم	molAyem
ملایمت	molAyemat
ملایک	malAyek
ملایی	mollAyi
ملا‌محمد	mollAmohammad
ملبس	molabbas
ملبوس	malbus
ملت	mellat
ملتبس	moltabes
ملتحمه	motaheme
ملتزم	moltazam
ملتفت	moltafet
ملتقا	moltaqA
ملتمس	moltames
ملتمسانه	moltamesAne
ملتهب	moltaheb
ملتی	mellati
ملج	malaj
ملجاء	maljA
ملح	melh
ملحد	molhed
ملحفه	malhafe
ملحق	molhaq
ملحقات	molhaqAt
ملحم	molham
ملحمه	malhame
ملحوظ	malhuz
ملخ	malax
ملخص	mollaxxes
ملخها	malaxhA
ملخی	malaxi
ملخ‌دار	malaxdAr
ملزم	molzam
ملزوم	malzum
ملزومات	malzumAt
ملس	malas
ملعبه	mal'abe
ملعقه	mal'aqe
ملعون	mal'un
ملغمه	molqame
ملغی	molqA
ملفوظ	malfuz
ملقب	molaqqab
ملل	melal
ملمع	molamma'
ململ	malmal
ململی	malmali
ملموس	malmus
ملنگ	malang
ملهم	molhem
ملوان	malavAn
ملوانی	malevAni
ملوث	molavvas
ملودرام	meloderAm
ملودی	melodi
ملودیکا	melodikA
ملوس	malus
ملول	malul
ملولی	maluli
ملون	molavvan
ملوک	moluk
ملوکانه	molukAne
ملوک‌الطوایفی	molukottavAyefi
ملچ	meleC
ملک	malek
ملکات	malekAt
ملکداری	melkdAri
ملکشاه	malekSAh
ملکه	malake
ملکوت	malakut
ملکوتی	malakuti
ملکوتیان	malakutiyAn
ملکول	molkul
ملکولی	molkuli
ملکی	maleki
ملکیان	malakiyAn
ملکیت	melkiyyat
ملک‌آباد	malekAbAd
ملک‌التجار	malekottojjAr
ملک‌الشعرا	malekoSSo'arA
ملک‌الشعراء	malekoSSo'arA
ملک‌زاده	malekzAde
ملک‌محمدی	malekmohammadi
ملک‌نیا	malekniyA
ملک‌پور	malekpur
ملی	melli
ملیارد	melyArd
ملیاردر	melyArder
ملیت	melliyyat
ملیت‌گرایی	melliyyatgerAyi
ملیح	malih
ملیحه	malihe
ملیحی	malihi
ملیسا	melisA
ملیله	malile
ملیله‌دوزی	malileduzi
ملیله‌کاری	malilekAri
ملین	molayyen
ملینا	melinA
ملیون	melliyyun
ملیونر	milyuner
ملیکا	melikA
ملی‌پوش	mellipuS
ملی‌گرا	melligerA
ملی‌گرایانه	melligarAyAne
ملی‌گرایی	melligerAyi
ممات	mamAt
ممارست	momAresat
مماس	momAs
مماشات	momASAt
ممالک	mamAlek
ممالیک	mamAlik
ممان	momAn
ممانعت	momAne'at
ممانعتی	momAne'ati
ممتاز	momtAz
ممتازی	momtAzi
ممتحن	momtahen
ممتحنه	momtahene
ممتد	momtad
ممتنع	momtane'
ممد	momedd
ممدوح	mamduh
ممر	mamarr
ممرز	mamraz
ممزوج	mamzuj
ممسنی	mamasani
ممسک	momsek
ممسک‌الاعنه	momsekol'a'ene
ممفیس	memfis
مملو	mamlov
مملوک	mamluk
مملکت	mamlekat
مملکتی	mamlekati
مملکت‌داری	mamlekatdAri
ممنوع	mamnu'
ممنوعه	mamnu'e
ممنوعیت	mamnu'iyyat
ممنوع‌الانتشار	mamnu'ol'enteSAr
ممنوع‌الخروج	mamnu'olxuruj
ممنوع‌القلم	mamnu'olqalam
ممنوع‌الملاقات	mamnu'olmolAqAt
ممنوع‌الورود	mamnu'olvorud
ممنوع‌شده	mamnu'Sode
ممنون	mamnun
ممه	mame
ممهور	mamhur
ممکن	momken
ممکنات	momkenAt
ممکنه	momkene
ممکن‌الوجود	momkenolvojud
ممیز	momayyez
ممیزه	momayyeze
ممیزی	momayyezi
من	man
منا	monA
مناب	manAb
منابر	manAber
منابع	manAbe'
منات	manAt
مناجات	monAjAt
مناجاتی	monAjAti
مناجات‌نامه	monAjAtnAme
منادا	monAdA
منادی	monAdi
منار	menAr
مناره	menAre
منار‌جنبان	menArjonbAn
منازع	monAze'
منازعات	monAze'At
منازعت	monAze'at
منازعه	monAze'e
منازل	manAzel
مناسب	monAseb
مناسبات	monAsebAt
مناسبت	monAsebat
مناسب‌سازی	monAsebsAzi
مناسک	manAsek
مناصب	manAseb
مناصفه	monAsefe
مناطق	manAteq
مناظر	manAzer
مناظرات	monAzerAt
مناظره	monAzere
مناعت	manA'at
منافات	monAfAt
منافذ	manAfez
منافع	manAfe'
منافق	monAfeq
منافقانه	monAfeqAne
منافقی	monAfeqi
